route_long_name,route_short_name,agency_id,route_type,route_id
5th Phase Yelahanka New Town ⇔ Central Silk Board,500-DY,1,3,ai
5th Phase Yelahanka New Town ⇔ Depot-10 Gate,500-Y YSTF-D10G,1,3,11c
5th Phase Yelahanka New Town ⇔ Electronic City,356-J,1,3,to
5th Phase Yelahanka New Town ⇔ Hosakote Bus Stand (Old),280-F YSTF-HSK,1,3,n3
5th Phase Yelahanka New Town ⇔ Hosakote Bus Stand (Old),289-LA YSTF-HSK,1,3,12l
5th Phase Yelahanka New Town ⇔ KR Pura Govt Hospital,507-D,1,3,cj
5th Phase Yelahanka New Town ⇔ Kadugodi Bus Station,500-Y,1,3,16s
5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,402-B YSTF-VSD-SBS,1,3,ct
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7C,1,3,hs
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7CA,1,3,ia
8th Mile Dasarahalli ⇔ Byadarahalli,BC-7B,1,3,17j
8th Mile Dasarahalli ⇔ Gangondanahalli,BC-7E,1,3,gf
8th Mile Dasarahalli ⇔ Herohalli Cross,BC-7H,1,3,1ja
8th Mile Dasarahalli ⇔ Kachohalli Gate,BC-7K,1,3,ad
8th Mile Dasarahalli ⇔ Suvarna Nagara,MF-25A,1,3,1rn
8th Mile Dasarahalli ⇔ Thippennahalli,MF-25,1,3,1k
9th Block Jayanagara (40th Cross) ⇔ 9th Block Jayanagara (22nd Main),MF-19,1,3,220
9th Block Jayanagara (40th Cross) ⇔ Panchasheela Nagara,237-J,1,3,2q
AECS Layout Singasandra ⇔ KR Market (Kalasipalya),347-K,1,3,i6
AECS Layout Singasandra ⇔ Kempegowda Bus Station,347-N,1,3,1ty
Abbigere ⇔ Peenya 2nd stage,401-AK ABG-PSS,1,3,20o
Adarshanagara Water Tank ⇔ Kempegowda Bus Station,258-N ASDW-VSD-KBS,1,3,1si
Agara Junction ⇔ Agara Junction,HSR FDR-1,1,3,4u
Agara Junction ⇔ Agara Junction,HSR FDR-1A,1,3,26t
Agrahara Layout ⇔ KR Market,291-JA,1,3,1hf
Agrahara Layout ⇔ Kempegowda Bus Station,280-A AGLO-KBS,1,3,1jd
Aluru BDA 2nd Stage ⇔ Kempegowda Bus Station,255-AE ALRB2-VSD-KBS,1,3,7u
Ambedkar Institute of Technology ⇔ Deepanjalinagara,NBVB-DPJN,1,3,3g
Anekal ⇔ Attibele Bus Stand,399-F ANK-ATB,1,3,7c
