route_id,service_id,trip_headsign,direction_id,shape_id,trip_id
1,1,Thammenahalli,0,2q5,o9y
10,1,Doddaballapura Bus Stand,0,2b9,csy
100,1,Devanahalli Old Bus Stand,0,1k0,trw
101,1,KR Market,1,yl,9jj
101,1,Kaggalahalli,0,qs,yt9
102,1,KR Market,1,p6,izs
102,1,Shivanapura,0,3gr,ibc
103,1,Bettahalli,0,2is,c4d
103,1,Bettahalli,0,2is,d0u
103,1,Bettahalli,0,2is,vvt
103,1,Bettahalli,0,2is,y0k
103,1,Kempegowda Bus Station,1,28a,1tv
103,1,Kempegowda Bus Station,1,28a,did
103,1,Kempegowda Bus Station,1,28a,yqn
104,1,Kempegowda Bus Station,1,141,mjh
104,1,Vijayapura Bus Stand Jangamakote,0,2yn,ab8
105,1,KR Market (Kalasipalya),1,1d,sip
105,1,KR Market (Kalasipalya),1,1d,tfy
105,1,KoratagereDoddy Bannerughatta,0,p5,wcu
106,1,Brundavana Nagara,1,1gw,otw
106,1,Shivajinagara Bus Station,0,24w,ibg
107,1,KR Market (Kalasipalya),1,12b,eak
107,1,Ramasandra,0,g1,1kx
107,1,Ramasandra,0,g1,w1b
108,1,Gadenahalli,0,13q,2m2
108,1,Gadenahalli,0,13q,2po
108,1,Gadenahalli,0,13q,32v
108,1,Kempegowda Bus Station,1,2i1,5vr
108,1,Kempegowda Bus Station,1,2i1,8xf
109,1,Dodda Bettahalli,0,262,nmu
109,1,Shivajinagara Bus Station,1,vb,x84
10a,1,KR Market (Kalasipalya),1,1b3,2fn
10a,1,KR Market (Kalasipalya),1,1b3,inf
10a,1,KR Market (Kalasipalya),1,1b3,r1w
10a,1,Sollepura,0,2kn,c38
10a,1,Sollepura,0,2kn,q5n
10a,1,Sollepura,0,2kn,tj9
10b,1,Ambedkar Institute of Technology,0,c8,rdm
10c,1,JK Basavanna Nagara,0,1c2,f3f
10d,1,Anekal,0,9k,cq3
10d,1,Depot-34 Gate,1,am,z2w
10e,1,Central Silk Board,0,pt,pbg
10e,1,Central Silk Board,0,pt,t52
10e,1,Central Silk Board,0,pt,u6
10e,1,Yeshawanthapura Bus Station,1,1w,qiv
10e,1,Yeshawanthapura Bus Station,1,1w,tmc
10f,1,White Field Bus Station (Vydehi Hospital),1,3j4,kdk
10g,1,Dodda Basti,0,111,88o
